CountryCode,Coordinates,Name,Comments,OffsetUTC,OffsetUTCDST,Notes,CountryCodeISO,CountryCodeISOWiki,Link,OffsetUTCMinutes,OffsetUTCDSTMinutes
CI,+0519-00402,Africa/Abidjan,,+00:00,+00:00,,ISO 3166-1:CI,/wiki/ISO_3166-1:CI,,0,0
GH,+0533-00013,Africa/Accra,,+00:00,+00:00,,ISO 3166-1:GH,/wiki/ISO_3166-1:GH,,0,0
ET,+0902+03842,Africa/Addis_Ababa,,+03:00,+03:00,,ISO 3166-1:ET,/wiki/ISO_3166-1:ET,,180,180
DZ,+3647+00303,Africa/Algiers,,+01:00,+01:00,,ISO 3166-1:DZ,/wiki/ISO_3166-1:DZ,,60,60
ER,+1520+03853,Africa/Asmara,,+03:00,+03:00,,ISO 3166-1:ER,/wiki/ISO_3166-1:ER,,180,180
,,Africa/Asmera,,+03:00,+03:00,Link to Africa/Asmara,,,Africa/Asmara,180,180
ML,+1239-00800,Africa/Bamako,,+00:00,+00:00,,ISO 3166-1:ML,/wiki/ISO_3166-1:ML,,0,0
CF,+0422+01835,Africa/Bangui,,+01:00,+01:00,,ISO 3166-1:CF,/wiki/ISO_3166-1:CF,,60,60
GM,+1328-01639,Africa/Banjul,,+00:00,+00:00,,ISO 3166-1:GM,/wiki/ISO_3166-1:GM,,0,0
GW,+1151-01535,Africa/Bissau,,+00:00,+00:00,,ISO 3166-1:GW,/wiki/ISO_3166-1:GW,,0,0
MW,-1547+03500,Africa/Blantyre,,+02:00,+02:00,,ISO 3166-1:MW,/wiki/ISO_3166-1:MW,,120,120
CG,-0416+01517,Africa/Brazzaville,,+01:00,+01:00,,ISO 3166-1:CG,/wiki/ISO_3166-1:CG,,60,60
BI,-0323+02922,Africa/Bujumbura,,+02:00,+02:00,,ISO 3166-1:BI,/wiki/ISO_3166-1:BI,,120,120
EG,+3003+03115,Africa/Cairo,,+02:00,+02:00,DST has been canceled since 2011,ISO 3166-1:EG,/wiki/ISO_3166-1:EG,,120,120
MA,+3339-00735,Africa/Casablanca,,+00:00,+01:00,,ISO 3166-1:MA,/wiki/ISO_3166-1:MA,,0,60
ES,+3553-00519,Africa/Ceuta,Ceuta & Melilla,+01:00,+02:00,,ISO 3166-1:ES,/wiki/ISO_3166-1:ES,,60,120
GN,+0931-01343,Africa/Conakry,,+00:00,+00:00,,ISO 3166-1:GN,/wiki/ISO_3166-1:GN,,0,0
SN,+1440-01726,Africa/Dakar,,+00:00,+00:00,,ISO 3166-1:SN,/wiki/ISO_3166-1:SN,,0,0
